round,basin,data_row_count,feature_quantity,feature_list,kernel_options,best_kernel,c_options,best_c,epsilon_options,best_epsilon,target_variable_variance,mse,rmse,mae,r2,within_5_percent,within_15_percent,within_25_percent,within_50_percent,results_min%_difference,results_max%_difference,0.25_quantile_loss,0.5_quantile_loss,0.75_quantile_loss,cross_val_mse
03_wi_nc_eo,Rocky Mountain,692,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","['rbf', 'poly', 'sigmoid']",rbf,"[0.1, 0.5, 1, 5, 10, 50]",50.0,"[0.01, 0.05, 0.1, 0.2]",0.2,119.86,18.0,4.24,2.24,0.85,23.12,47.98,65.9,87.28,0.06,513.01,0.45,1.28,2.73,57.59
03_wi_wc,Appalachian,71,137,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL', 'PLAYTYPE_Sedimentary', 'WELLTYPE_Conventional Hydrocarbon', 'FORMSIMPLE_Berea', 'FORMSIMPLE_Clinton', 'FORMSIMPLE_Fifth Sand', 'FORMSIMPLE_Fourth Sand', 'FORMSIMPLE_Gatesburg', 'FORMSIMPLE_Gordon', 'FORMSIMPLE_Hundred Foot Sand', 'FORMSIMPLE_Medina', 'FORMSIMPLE_Mountain', 'FORMSIMPLE_Murrysville', 'FORMSIMPLE_Oriskany', 'FORMSIMPLE_Salt Sand', 'STATE_Kentucky', 'STATE_New York', 'STATE_Ohio', 'STATE_Pennsylvania', 'STATE_West Virginia', 'COUNTY_Allegany', 'COUNTY_Allegheny', 'COUNTY_Ashtabula', 'COUNTY_Butler', 'COUNTY_Carroll', 'COUNTY_Cattaraugus', 'COUNTY_Coshocton', 'COUNTY_Erie', 'COUNTY_Guernsey', 'COUNTY_Hocking', 'COUNTY_Holmes', 'COUNTY_Knox', 'COUNTY_Lawrence', 'COUNTY_Licking', 'COUNTY_Mahoning', 'COUNTY_Morgan', 'COUNTY_Muskingum', 'COUNTY_Perry', 'COUNTY_Preston', 'COUNTY_Stark', 'COUNTY_Steuben', 'COUNTY_Tuscarawas', 'COUNTY_Vinton', 'COUNTY_Washington', 'COUNTY_Wayne', 'COUNTY_Westmoreland', 'PROVINCE_Appalachian Basin', 'REGION_Eastern', 'WELLNAME_Amos Miller', 'WELLNAME_B.l. Latham #2-a', 'WELLNAME_Berman', 'WELLNAME_Briar Hill Stone', 'WELLNAME_Brown', 'WELLNAME_Brownrigg', 'WELLNAME_Burkhart 1 & 2', 'WELLNAME_Carl W. Fisher #2', 'WELLNAME_Chapman', 'WELLNAME_Colopy', 'WELLNAME_Conrad', 'WELLNAME_Consol Lease', 'WELLNAME_Dean Holt', 'WELLNAME_Do.', 'WELLNAME_E. Rogers', 'WELLNAME_Edmund G. Williams', 'WELLNAME_Eshler/brown', 'WELLNAME_F M Nowells 1', 'WELLNAME_Felumlee', 'WELLNAME_Gardner', 'WELLNAME_Gibson', 'WELLNAME_Goldsboro 102', 'WELLNAME_Goodlive', 'WELLNAME_H. Ames 1', 'WELLNAME_H. B. Kiser', 'WELLNAME_H.h. Sheppard', 'WELLNAME_Harding', 'WELLNAME_Hazel Kid Et Al.', 'WELLNAME_Henry', 'WELLNAME_Homer Armstrong 1', 'WELLNAME_Hughes', 'WELLNAME_Jacobs', 'WELLNAME_John Daugherty', 'WELLNAME_Kidd Hazel Et Al 1', 'WELLNAME_L. Chase 1', 'WELLNAME_Lindsey E Nice #9102', 'WELLNAME_Lotz', 'WELLNAME_M. Palmer 1', 'WELLNAME_Manufactures Light & Heat', 'WELLNAME_Marsh A-1', 'WELLNAME_Martin', 'WELLNAME_Mary Hamilton', 'WELLNAME_Merry A-1', 'WELLNAME_Miller', 'WELLNAME_Mrs. D. Moritz', 'WELLNAME_Nowells', 'WELLNAME_Octavia Moore 1107', 'WELLNAME_Peoples Natural Gas Company', 'WELLNAME_R. Nihizer', 'WELLNAME_R.j. Steeb', 'WELLNAME_Ritzert Bros.', 'WELLNAME_Schultz', 'WELLNAME_Snyder', 'WELLNAME_Stone & Stone', 'WELLNAME_V.r. Stephens', 'WELLNAME_W. & E. Ferguson', 'WELLNAME_W.j. Derr', 'WELLNAME_W.m. Ruby Estate', 'WELLNAME_Wagner', 'WELLNAME_Watson-bar', 'WELLNAME_Waverly Oil Works', 'WELLNAME_Weaver', 'WELLNAME_Wells', 'WELLNAME_Wilder', 'WELLNAME_Wolford', 'WELLNAME_Worley', 'PERIOD_Cambrian', 'PERIOD_Devonian', 'PERIOD_Mississippian', 'PERIOD_Silurian']","['rbf', 'poly', 'sigmoid']",sigmoid,"[0.1, 0.5, 1, 5, 10, 50]",50.0,"[0.01, 0.05, 0.1, 0.2]",0.01,769.27,126.03,11.23,6.99,0.84,22.22,66.67,83.33,94.44,1.83,305.11,2.65,4.86,7.44,957.71
07_wi_nc,Michigan,64,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","['rbf', 'poly']",rbf,"[10, 20, 30, 40, 50]",30.0,"[0.1, 0.2, 0.3, 0.4, 0.5]",0.1,156.41,26.43,5.14,4.08,0.83,12.5,43.75,62.5,87.5,1.26,109.22,1.63,3.29,6.62,75.03
04_wi_nc,Gulf Coast,326,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","['rbf', 'poly', 'sigmoid']",poly,"[0.1, 0.5, 1, 5, 10]",10.0,"[0.01, 0.05, 0.1]",0.01,8537.36,1445.34,38.02,19.62,0.83,25.61,62.2,68.29,75.61,1.1,2090.86,2.47,4.86,22.13,20632.83
01_ni_nc,Gulf Coast,78,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","['linear', 'rbf', 'poly']",linear,"[0.1, 1, 10]",1.0,"[0.01, 0.1, 0.5]",0.5,22587.95,4096.27,64.0,40.93,0.82,45.83,54.17,54.17,66.67,4.09,418.89,1.06,9.54,85.16,38535.58
02_wi_nc,Michigan,64,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","['linear', 'rbf', 'poly', 'sigmoid']",sigmoid,"[0.1, 0.5, 1, 5, 10, 50, 100]",10.0,"[0.01, 0.05, 0.1, 0.2, 0.5]",0.5,179.14,31.71,5.63,3.85,0.82,20.0,60.0,75.0,90.0,0.57,135.63,1.82,2.45,4.38,60.73
06_wi_wc,Appalachian,71,137,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL', 'PLAYTYPE_Sedimentary', 'WELLTYPE_Conventional Hydrocarbon', 'FORMSIMPLE_Berea', 'FORMSIMPLE_Clinton', 'FORMSIMPLE_Fifth Sand', 'FORMSIMPLE_Fourth Sand', 'FORMSIMPLE_Gatesburg', 'FORMSIMPLE_Gordon', 'FORMSIMPLE_Hundred Foot Sand', 'FORMSIMPLE_Medina', 'FORMSIMPLE_Mountain', 'FORMSIMPLE_Murrysville', 'FORMSIMPLE_Oriskany', 'FORMSIMPLE_Salt Sand', 'STATE_Kentucky', 'STATE_New York', 'STATE_Ohio', 'STATE_Pennsylvania', 'STATE_West Virginia', 'COUNTY_Allegany', 'COUNTY_Allegheny', 'COUNTY_Ashtabula', 'COUNTY_Butler', 'COUNTY_Carroll', 'COUNTY_Cattaraugus', 'COUNTY_Coshocton', 'COUNTY_Erie', 'COUNTY_Guernsey', 'COUNTY_Hocking', 'COUNTY_Holmes', 'COUNTY_Knox', 'COUNTY_Lawrence', 'COUNTY_Licking', 'COUNTY_Mahoning', 'COUNTY_Morgan', 'COUNTY_Muskingum', 'COUNTY_Perry', 'COUNTY_Preston', 'COUNTY_Stark', 'COUNTY_Steuben', 'COUNTY_Tuscarawas', 'COUNTY_Vinton', 'COUNTY_Washington', 'COUNTY_Wayne', 'COUNTY_Westmoreland', 'PROVINCE_Appalachian Basin', 'REGION_Eastern', 'WELLNAME_Amos Miller', 'WELLNAME_B.l. Latham #2-a', 'WELLNAME_Berman', 'WELLNAME_Briar Hill Stone', 'WELLNAME_Brown', 'WELLNAME_Brownrigg', 'WELLNAME_Burkhart 1 & 2', 'WELLNAME_Carl W. Fisher #2', 'WELLNAME_Chapman', 'WELLNAME_Colopy', 'WELLNAME_Conrad', 'WELLNAME_Consol Lease', 'WELLNAME_Dean Holt', 'WELLNAME_Do.', 'WELLNAME_E. Rogers', 'WELLNAME_Edmund G. Williams', 'WELLNAME_Eshler/brown', 'WELLNAME_F M Nowells 1', 'WELLNAME_Felumlee', 'WELLNAME_Gardner', 'WELLNAME_Gibson', 'WELLNAME_Goldsboro 102', 'WELLNAME_Goodlive', 'WELLNAME_H. Ames 1', 'WELLNAME_H. B. Kiser', 'WELLNAME_H.h. Sheppard', 'WELLNAME_Harding', 'WELLNAME_Hazel Kid Et Al.', 'WELLNAME_Henry', 'WELLNAME_Homer Armstrong 1', 'WELLNAME_Hughes', 'WELLNAME_Jacobs', 'WELLNAME_John Daugherty', 'WELLNAME_Kidd Hazel Et Al 1', 'WELLNAME_L. Chase 1', 'WELLNAME_Lindsey E Nice #9102', 'WELLNAME_Lotz', 'WELLNAME_M. Palmer 1', 'WELLNAME_Manufactures Light & Heat', 'WELLNAME_Marsh A-1', 'WELLNAME_Martin', 'WELLNAME_Mary Hamilton', 'WELLNAME_Merry A-1', 'WELLNAME_Miller', 'WELLNAME_Mrs. D. Moritz', 'WELLNAME_Nowells', 'WELLNAME_Octavia Moore 1107', 'WELLNAME_Peoples Natural Gas Company', 'WELLNAME_R. Nihizer', 'WELLNAME_R.j. Steeb', 'WELLNAME_Ritzert Bros.', 'WELLNAME_Schultz', 'WELLNAME_Snyder', 'WELLNAME_Stone & Stone', 'WELLNAME_V.r. Stephens', 'WELLNAME_W. & E. Ferguson', 'WELLNAME_W.j. Derr', 'WELLNAME_W.m. Ruby Estate', 'WELLNAME_Wagner', 'WELLNAME_Watson-bar', 'WELLNAME_Waverly Oil Works', 'WELLNAME_Weaver', 'WELLNAME_Wells', 'WELLNAME_Wilder', 'WELLNAME_Wolford', 'WELLNAME_Worley', 'PERIOD_Cambrian', 'PERIOD_Devonian', 'PERIOD_Mississippian', 'PERIOD_Silurian']","['rbf', 'poly', 'sigmoid']",sigmoid,"[10, 50, 100, 150, 200]",200.0,"[0.1, 0.2, 0.3, 0.4, 0.5]",0.1,769.27,147.67,12.15,7.53,0.81,11.11,50.0,83.33,94.44,3.44,196.06,2.78,5.4,7.31,717.46
06_pca,Williston,502,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","['rbf', 'poly', 'sigmoid']",rbf,"[10, 50, 100, 150, 200]",200.0,"[0.1, 0.2, 0.3, 0.4, 0.5]",0.1,2013.45,389.21,19.73,9.4,0.81,24.6,56.35,68.25,84.13,0.08,32025.63,1.64,4.0,9.35,1756.97
05_wi_nc_eo,Pacific,124,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","['rbf', 'poly', 'sigmoid']",rbf,"[10, 50, 100, 150, 200]",50.0,"[0.1, 0.2, 0.3, 0.4, 0.5]",0.1,9.13,1.81,1.35,0.82,0.8,12.0,48.0,56.0,80.0,0.73,5018.62,0.15,0.35,0.92,3.37
05_wi_nc,Appalachian,115,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","['rbf', 'poly', 'sigmoid']",poly,"[10, 50, 100, 150, 200]",200.0,"[0.1, 0.2, 0.3, 0.4, 0.5]",0.1,13653.42,2790.56,52.83,29.64,0.8,17.39,32.61,50.0,71.74,0.05,52358.26,4.83,13.99,31.79,3233.08
01_wi_wc,Appalachian,71,137,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL', 'PLAYTYPE_Sedimentary', 'WELLTYPE_Conventional Hydrocarbon', 'FORMSIMPLE_Berea', 'FORMSIMPLE_Clinton', 'FORMSIMPLE_Fifth Sand', 'FORMSIMPLE_Fourth Sand', 'FORMSIMPLE_Gatesburg', 'FORMSIMPLE_Gordon', 'FORMSIMPLE_Hundred Foot Sand', 'FORMSIMPLE_Medina', 'FORMSIMPLE_Mountain', 'FORMSIMPLE_Murrysville', 'FORMSIMPLE_Oriskany', 'FORMSIMPLE_Salt Sand', 'STATE_Kentucky', 'STATE_New York', 'STATE_Ohio', 'STATE_Pennsylvania', 'STATE_West Virginia', 'COUNTY_Allegany', 'COUNTY_Allegheny', 'COUNTY_Ashtabula', 'COUNTY_Butler', 'COUNTY_Carroll', 'COUNTY_Cattaraugus', 'COUNTY_Coshocton', 'COUNTY_Erie', 'COUNTY_Guernsey', 'COUNTY_Hocking', 'COUNTY_Holmes', 'COUNTY_Knox', 'COUNTY_Lawrence', 'COUNTY_Licking', 'COUNTY_Mahoning', 'COUNTY_Morgan', 'COUNTY_Muskingum', 'COUNTY_Perry', 'COUNTY_Preston', 'COUNTY_Stark', 'COUNTY_Steuben', 'COUNTY_Tuscarawas', 'COUNTY_Vinton', 'COUNTY_Washington', 'COUNTY_Wayne', 'COUNTY_Westmoreland', 'PROVINCE_Appalachian Basin', 'REGION_Eastern', 'WELLNAME_Amos Miller', 'WELLNAME_B.l. Latham #2-a', 'WELLNAME_Berman', 'WELLNAME_Briar Hill Stone', 'WELLNAME_Brown', 'WELLNAME_Brownrigg', 'WELLNAME_Burkhart 1 & 2', 'WELLNAME_Carl W. Fisher #2', 'WELLNAME_Chapman', 'WELLNAME_Colopy', 'WELLNAME_Conrad', 'WELLNAME_Consol Lease', 'WELLNAME_Dean Holt', 'WELLNAME_Do.', 'WELLNAME_E. Rogers', 'WELLNAME_Edmund G. Williams', 'WELLNAME_Eshler/brown', 'WELLNAME_F M Nowells 1', 'WELLNAME_Felumlee', 'WELLNAME_Gardner', 'WELLNAME_Gibson', 'WELLNAME_Goldsboro 102', 'WELLNAME_Goodlive', 'WELLNAME_H. Ames 1', 'WELLNAME_H. B. Kiser', 'WELLNAME_H.h. Sheppard', 'WELLNAME_Harding', 'WELLNAME_Hazel Kid Et Al.', 'WELLNAME_Henry', 'WELLNAME_Homer Armstrong 1', 'WELLNAME_Hughes', 'WELLNAME_Jacobs', 'WELLNAME_John Daugherty', 'WELLNAME_Kidd Hazel Et Al 1', 'WELLNAME_L. Chase 1', 'WELLNAME_Lindsey E Nice #9102', 'WELLNAME_Lotz', 'WELLNAME_M. Palmer 1', 'WELLNAME_Manufactures Light & Heat', 'WELLNAME_Marsh A-1', 'WELLNAME_Martin', 'WELLNAME_Mary Hamilton', 'WELLNAME_Merry A-1', 'WELLNAME_Miller', 'WELLNAME_Mrs. D. Moritz', 'WELLNAME_Nowells', 'WELLNAME_Octavia Moore 1107', 'WELLNAME_Peoples Natural Gas Company', 'WELLNAME_R. Nihizer', 'WELLNAME_R.j. Steeb', 'WELLNAME_Ritzert Bros.', 'WELLNAME_Schultz', 'WELLNAME_Snyder', 'WELLNAME_Stone & Stone', 'WELLNAME_V.r. Stephens', 'WELLNAME_W. & E. Ferguson', 'WELLNAME_W.j. Derr', 'WELLNAME_W.m. Ruby Estate', 'WELLNAME_Wagner', 'WELLNAME_Watson-bar', 'WELLNAME_Waverly Oil Works', 'WELLNAME_Weaver', 'WELLNAME_Wells', 'WELLNAME_Wilder', 'WELLNAME_Wolford', 'WELLNAME_Worley', 'PERIOD_Cambrian', 'PERIOD_Devonian', 'PERIOD_Mississippian', 'PERIOD_Silurian']","['linear', 'rbf', 'poly']",linear,"[0.1, 1, 10]",1.0,"[0.01, 0.1, 0.5]",0.01,1270.11,268.47,16.39,10.55,0.79,13.64,50.0,81.82,86.36,1.54,171.74,3.23,6.74,8.76,732.8
02_wi_nc_eo,Rocky Mountain,692,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","['linear', 'rbf', 'poly', 'sigmoid']",rbf,"[0.1, 0.5, 1, 5, 10, 50, 100]",100.0,"[0.01, 0.05, 0.1, 0.2, 0.5]",0.5,184.23,38.0,6.16,2.97,0.79,18.75,45.19,66.35,87.5,0.45,536.45,0.55,1.47,2.74,37.97
03_wi_nc_eo,Pacific,124,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","['rbf', 'poly', 'sigmoid']",rbf,"[0.1, 0.5, 1, 5, 10, 50]",50.0,"[0.01, 0.05, 0.1, 0.2]",0.01,10.34,2.32,1.52,0.84,0.78,22.58,51.61,61.29,80.65,2.44,5010.65,0.11,0.26,0.8,1.73
