round,basin,data_row_count,feature_quantity,feature_list,k_options,best_k,target_variable_variance,mse,rmse,mae,r2,within_5_percent,within_15_percent,within_25_percent,within_50_percent,results_min%_difference,results_max%_difference,0.25_quantile_loss,0.5_quantile_loss,0.75_quantile_loss,cross_val_mse
03_wi_nc,Fort Worth,10,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","[1, 2, 3, 4, 5]",1,101.54,17.62,4.2,3.37,0.83,0.0,33.33,66.67,66.67,8.0,324.53,1.62,2.0,4.44,317.27
04_pca,Gulf Coast,888,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","[1, 2, 3, 4, 5]",4,5656.33,1168.57,34.18,11.45,0.79,41.57,64.04,74.72,87.08,0.23,4493.3,0.94,3.12,11.02,8188.06
02_wi_nc_eo,Appalachian,298,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3]",1,4460.39,974.17,31.21,17.31,0.78,28.33,55.0,66.67,80.0,1.1,1705.0,2.48,7.7,22.75,4961.52
03_wi_nc_eo,Anadarko,258,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3, 4, 5]",4,10058.07,2170.15,46.58,13.64,0.78,60.26,75.64,80.77,84.62,0.0,356.32,0.26,1.06,4.85,6779.98
06_wi_nc,Michigan,64,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","[3, 4, 5]",5,156.41,33.89,5.82,4.37,0.78,6.25,50.0,62.5,87.5,3.21,118.09,1.43,2.49,5.81,74.56
07_wi_nc,Michigan,64,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","[3, 4, 5, 6, 7, 8, 9]",5,156.41,33.89,5.82,4.37,0.78,6.25,50.0,62.5,87.5,3.21,118.09,1.43,2.49,5.81,74.56
01_wi_nc,Michigan,64,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","[1, 2, 3]",3,179.14,43.31,6.58,4.86,0.76,10.0,45.0,60.0,85.0,0.34,104.44,1.7,3.2,6.13,92.61
04_wi_nc,Michigan,64,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","[1, 2, 3, 4, 5]",5,162.83,38.55,6.21,4.6,0.76,7.69,53.85,61.54,84.62,0.1,67.09,1.42,2.63,7.38,59.9
03_wi_nc,Michigan,64,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","[1, 2, 3, 4, 5]",5,179.14,43.02,6.56,4.48,0.76,15.0,55.0,70.0,85.0,1.19,118.09,1.39,2.32,5.68,84.99
02_wi_nc_eo,Michigan,93,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3]",2,774.21,184.76,13.59,8.1,0.76,26.32,52.63,63.16,78.95,1.85,1125.0,1.15,3.5,9.07,141.98
02_pca,Michigan,150,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","[1, 2, 3]",3,399.73,100.73,10.04,6.82,0.75,23.33,36.67,50.0,86.67,0.22,850.0,1.52,5.82,7.92,141.43
05_wi_nc_eo,Williston,441,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3, 4, 5]",3,3067.99,757.5,27.52,11.67,0.75,41.24,62.15,72.88,81.36,0.0,58299.19,0.33,2.69,8.77,1600.15
02_wi_nc,Michigan,64,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","[1, 2, 3]",3,162.83,41.91,6.47,4.84,0.74,15.38,30.77,53.85,84.62,0.34,97.85,1.75,4.0,6.36,69.11
04_wi_nc_eo,Appalachian,298,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3, 4, 5]",4,4460.39,1218.23,34.9,18.96,0.73,30.0,51.67,63.33,83.33,1.59,2922.92,2.75,8.32,22.36,3942.43
06_wi_nc_eo,Anadarko,258,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[3, 4, 5]",5,10403.61,2786.91,52.79,14.29,0.73,61.54,73.85,80.0,84.62,0.0,270.4,0.21,0.66,5.51,7237.21
04_wi_nc_eo,Anadarko,258,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3, 4, 5]",5,11150.8,3145.63,56.09,14.07,0.72,67.31,76.92,82.69,88.46,0.0,268.59,0.22,0.57,3.15,5603.78
04_wi_wc,Williston,269,253,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL', 'PLAYTYPE_Sedimentary', 'PLAYTYPE_Shale', 'WELLTYPE_Conventional Hydrocarbon', 'FORMSIMPLE_Bakken', 'FORMSIMPLE_Charles', 'FORMSIMPLE_Dawson Bay', 'FORMSIMPLE_Devonian', 'FORMSIMPLE_Duperow', 'FORMSIMPLE_Gunton', 'FORMSIMPLE_Interlake', 'FORMSIMPLE_Kibbey', 'FORMSIMPLE_Madison', 'FORMSIMPLE_Midale', 'FORMSIMPLE_Minnelusa', 'FORMSIMPLE_Mission Canyon', 'FORMSIMPLE_Nesson', 'FORMSIMPLE_Nisku', 'FORMSIMPLE_Pennsylvanian', 'FORMSIMPLE_Ratcliffe', 'FORMSIMPLE_Red River', 'FORMSIMPLE_Silurian', 'FORMSIMPLE_Spearfish', 'FORMSIMPLE_Stony Mountain', 'FORMSIMPLE_Tyler', 'STATE_Montana', 'STATE_North Dakota', 'STATE_South Dakota', 'COUNTY_Billings', 'COUNTY_Bottineau', 'COUNTY_Burke', 'COUNTY_Butte', 'COUNTY_Carter', 'COUNTY_Daniels', 'COUNTY_Dawson', 'COUNTY_Divide', 'COUNTY_Dunn', 'COUNTY_Fallon', 'COUNTY_Harding', 'COUNTY_Jackson', 'COUNTY_McCone', 'COUNTY_McHenry', 'COUNTY_McKenzie', 'COUNTY_Mercer', 'COUNTY_Mountrail', 'COUNTY_Petroleum', 'COUNTY_Renville', 'COUNTY_Richland', 'COUNTY_Roosevelt', 'COUNTY_Sheridan', 'COUNTY_Slope', 'COUNTY_Stark', 'COUNTY_Williams', 'PROVINCE_North-Central Montana', 'PROVINCE_Williston Basin', 'REGION_Rocky Mountains and Northern Great Plains', 'WELLNAME_#1 Ed Lockwood', 'WELLNAME_1 - 66 Np Dawson', 'WELLNAME_1 - A Lillie', 'WELLNAME_1 - A Lillie, Et Al', 'WELLNAME_1 - B Nelson', 'WELLNAME_1 - U Nprr', 'WELLNAME_1 A. B. Mickelson', 'WELLNAME_1 A. Mckinnon', 'WELLNAME_1 Angermeier', 'WELLNAME_1 Arneson', 'WELLNAME_1 Barstad', 'WELLNAME_1 Bertha Ekness', 'WELLNAME_1 Blair', 'WELLNAME_1 Bloms', 'WELLNAME_1 Borstad', 'WELLNAME_1 Camrud', 'WELLNAME_1 Chester Solberg', 'WELLNAME_1 Delaney', 'WELLNAME_1 Dona French', 'WELLNAME_1 Donna French', 'WELLNAME_1 E. Westgard - 4 Unit', 'WELLNAME_1 Fachner', 'WELLNAME_1 Federal Brown', 'WELLNAME_1 Ferguson', 'WELLNAME_1 Gilt Edge Realty', 'WELLNAME_1 Goettle', 'WELLNAME_1 Goetzinger - Chandler', 'WELLNAME_1 Government', 'WELLNAME_1 Grace Elie', 'WELLNAME_1 Graves', 'WELLNAME_1 Hagen-olson', 'WELLNAME_1 Hahsey', 'WELLNAME_1 Hansen-2', 'WELLNAME_1 Haugen - Peele', 'WELLNAME_1 Haugen, Et Al', 'WELLNAME_1 Hereim', 'WELLNAME_1 Holst', 'WELLNAME_1 Huffman', 'WELLNAME_1 Jerde', 'WELLNAME_1 Jerdo', 'WELLNAME_1 Jorstad', 'WELLNAME_1 Kiellberg', 'WELLNAME_1 Kittleson', 'WELLNAME_1 Knudson', 'WELLNAME_1 Kurth', 'WELLNAME_1 Larson', 'WELLNAME_1 Lee', 'WELLNAME_1 Lee Carter', 'WELLNAME_1 Leininger-church', 'WELLNAME_1 Lola Mccauley', 'WELLNAME_1 Lydia Foreman', 'WELLNAME_1 Mosby Unit', 'WELLNAME_1 Nesbit Unit', 'WELLNAME_1 Njos A', 'WELLNAME_1 Np - B', ""WELLNAME_1 O'donnell"", ""WELLNAME_1 O'keefe"", 'WELLNAME_1 Ostlund', 'WELLNAME_1 P. Holst', 'WELLNAME_1 Peterson', 'WELLNAME_1 Ramsos', 'WELLNAME_1 Sievers', 'WELLNAME_1 Simonson', 'WELLNAME_1 State', 'WELLNAME_1 State - Mccone', 'WELLNAME_1 Steffen', 'WELLNAME_1 Stexen', 'WELLNAME_1 Stoxen', 'WELLNAME_1 Summers', 'WELLNAME_1 Thon', 'WELLNAME_1 Thune', 'WELLNAME_1 Traastad', 'WELLNAME_1 Waller', 'WELLNAME_1 Winderl', 'WELLNAME_1 Wold', 'WELLNAME_1 Woodsend', 'WELLNAME_1-a Picard', 'WELLNAME_2 Anderson Unit', 'WELLNAME_2 Erich Eggen Unit', 'WELLNAME_2 Haugen', 'WELLNAME_2 Haugen, Et Al', 'WELLNAME_2 Kitzman - Bnd', 'WELLNAME_2 Mccauley', 'WELLNAME_2 Nct - 12', 'WELLNAME_2 Thune', 'WELLNAME_28-3 Kudrna', 'WELLNAME_4 Federal - Mccone 5012', 'WELLNAME_4 Nels Ward', 'WELLNAME_5 Federal - Mccone 5012', 'WELLNAME_A. Martin No. 1', 'WELLNAME_Anderson No. 1', 'WELLNAME_Anderson No. 2', 'WELLNAME_Arthur Martin     1', 'WELLNAME_Beaver Lodge-devonian Unit     G-307', 'WELLNAME_Beaver Lodge-devonian Unit     G-307x', 'WELLNAME_Bldu G-313', 'WELLNAME_Christianson B - 1', 'WELLNAME_Courchene No. 1', 'WELLNAME_Delaney 1', 'WELLNAME_Devonian Unit G-307', 'WELLNAME_Dickinson-heath-sand Unit     20', 'WELLNAME_Ed Lockwood', 'WELLNAME_Edith Ramsos     1', 'WELLNAME_Engebretson 1', 'WELLNAME_Erika Hjelm No. 1', 'WELLNAME_F. W. Shaffer Unit No. 1', 'WELLNAME_Federal 5012 Mccone No. 2', 'WELLNAME_Federal Mccone 5012, No. 2', 'WELLNAME_Ferguson Unit No. 1', 'WELLNAME_Garland No. 5', 'WELLNAME_George Wilson 2', 'WELLNAME_Govt 1', 'WELLNAME_Haugen Et Al - 2 No. 3', 'WELLNAME_Hellegaard No. 2', 'WELLNAME_Herdt-bank Of N. Dakota No. 1', 'WELLNAME_Herdt-bnd Wsw', 'WELLNAME_Huffman 1', 'WELLNAME_Huttner Unit     1', 'WELLNAME_Huttner Unit No. 1', 'WELLNAME_Jackson 1', 'WELLNAME_Jensen No. 1', 'WELLNAME_Kenneth Henry 4', 'WELLNAME_Kitzman - Bank Of North Dakota     2', 'WELLNAME_Knudson No. 1', 'WELLNAME_Left Hand Thunder 1', 'WELLNAME_Loucks No. 1', 'WELLNAME_Ludwig Filipi 1', 'WELLNAME_Lydia Foreman No. 1', 'WELLNAME_M. Wallerich No. 1', 'WELLNAME_Metvedt No. 1', 'WELLNAME_Nels Ward 1', 'WELLNAME_Nels Ward No. 1', 'WELLNAME_Nesbit Unit No. 1', 'WELLNAME_Newburg-spearfish-charles Unit     K-715', 'WELLNAME_No. 1 Cymboluk', 'WELLNAME_No. 1 Espeland', 'WELLNAME_No. 1 Federal Mccone', 'WELLNAME_No. 1 Government', 'WELLNAME_No. 1 Lydia Foreman', 'WELLNAME_No. 1 Nels Ward', 'WELLNAME_No. 1 Norwick', 'WELLNAME_No. 1 Peterson', 'WELLNAME_No. 1 State', 'WELLNAME_No. 2 Anderson', 'WELLNAME_No. 2 Erika Hjelm', 'WELLNAME_No. 2 Federal - Mccone', 'WELLNAME_Nprr R - 4', ""WELLNAME_O'donnell 1"", 'WELLNAME_Oscar Bjorgen Unit No. 1', 'WELLNAME_Peder Solberg No. 1', 'WELLNAME_Peterson No. 1 - 6', 'WELLNAME_Phipps 1-a', 'WELLNAME_Renning A-1', 'WELLNAME_Reservoir Federal No. 1', 'WELLNAME_Rew Et Al No. 1', 'WELLNAME_Rindel     43-16', 'WELLNAME_Rival-madison Unit     23', 'WELLNAME_Schuh     1', 'WELLNAME_Siever No. 1', 'WELLNAME_Sinclair Research Laboratories, Inc.', 'WELLNAME_Sletvold No. 1', 'WELLNAME_Solberg No. 1', 'WELLNAME_Spoklie 1 - A', 'WELLNAME_Unit No. 3', 'WELLNAME_V. S. Medhus No. 1', 'WELLNAME_V. S. Medhus No. 2', 'WELLNAME_V. S. Medhus No. 3', 'WELLNAME_Wallrich No. 1', 'WELLNAME_Weinberger No. 1', 'WELLNAME_Westgard 3 Unit No. 1', 'PERIOD_Devonian', 'PERIOD_Jurassic', 'PERIOD_Mississippian', 'PERIOD_Ordovician', 'PERIOD_Pennsylvanian', 'PERIOD_Permian', 'PERIOD_Silurian', 'PERIOD_Triassic']","[1, 2, 3, 4, 5]",5,2154.69,630.82,25.12,11.34,0.71,31.48,50.0,62.96,83.33,0.0,360.0,0.85,4.1,9.85,2664.59
01_wi_nc_eo,Appalachian,298,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3]",3,3737.18,1087.62,32.98,20.07,0.71,23.33,45.56,57.78,80.0,0.0,3811.11,4.03,10.04,26.45,4397.91
04_pca,Michigan,150,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","[1, 2, 3, 4, 5]",5,399.73,121.31,11.01,7.77,0.7,13.33,46.67,46.67,73.33,1.03,910.0,1.52,6.2,11.75,130.53
04_wi_nc_eo,Michigan,93,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3, 4, 5]",5,774.21,231.34,15.21,8.79,0.7,21.05,47.37,63.16,84.21,3.57,1187.0,1.94,4.0,10.0,117.43
07_wi_nc_eo,Anadarko,258,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[3, 4, 5, 6, 7, 8, 9]",6,10403.61,3191.01,56.49,15.0,0.69,56.92,73.85,80.0,84.62,0.0,210.63,0.21,1.05,5.8,6809.15
05_wi_nc_eo,Anadarko,258,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3, 4, 5]",4,11845.93,3667.83,60.56,15.84,0.69,63.46,75.96,83.65,90.38,0.0,1900.0,0.31,1.07,3.99,6591.71
06_wi_nc_eo,Williston,441,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[3, 4, 5]",3,1595.39,533.51,23.1,10.13,0.67,34.23,60.36,72.97,81.98,0.0,154374.97,0.67,2.77,7.7,1565.62
07_wi_nc_eo,Williston,441,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[3, 4, 5, 6, 7, 8, 9]",3,1595.39,533.51,23.1,10.13,0.67,34.23,60.36,72.97,81.98,0.0,154374.97,0.67,2.77,7.7,1565.62
02_pca,Anadarko,262,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","[1, 2, 3]",3,9955.09,3246.03,56.97,15.74,0.67,50.94,73.58,79.25,84.91,0.0,230.96,0.39,1.23,5.0,7167.68
05_wi_nc,Rocky Mountain,575,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","[1, 2, 3, 4, 5]",1,190.73,65.44,8.09,3.73,0.66,32.17,50.87,64.35,77.39,0.0,700.0,0.0,1.02,3.82,83.28
01_pca,Michigan,150,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","[1, 2, 3]",3,309.1,104.76,10.24,7.33,0.66,24.44,35.56,48.89,80.0,0.22,883.33,1.48,6.0,10.73,147.34
02_wi_nc_eo,Rocky Mountain,692,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3]",2,142.27,50.28,7.09,3.48,0.65,16.55,47.48,58.27,76.98,0.0,600.0,0.5,1.5,4.0,53.63
03_wi_nc_eo,Williston,441,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3, 4, 5]",2,2702.75,953.13,30.87,11.69,0.65,36.09,63.91,76.69,84.21,0.0,33371.58,0.27,2.65,6.79,1416.97
06_wi_nc_eo,Appalachian,298,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[3, 4, 5]",5,4186.73,1486.25,38.55,22.84,0.65,24.0,40.0,60.0,77.33,0.42,2381.67,3.91,12.0,25.48,4137.94
01_wi_nc_eo,Williston,441,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3]",2,2702.75,953.13,30.87,11.69,0.65,36.09,63.91,76.69,84.21,0.0,33371.58,0.27,2.65,6.79,1416.97
04_wi_nc_eo,Rocky Mountain,692,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3, 4, 5]",2,142.27,50.28,7.09,3.48,0.65,16.55,47.48,58.27,76.98,0.0,600.0,0.5,1.5,4.0,53.63
07_wi_nc,Fort Worth,10,20,"['TDS', 'LATITUDE', 'LONGITUDE', 'DEPTHUPPER', 'DEPTHLOWER', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn', 'CHARGEBAL']","[3, 4, 5, 6, 7, 8, 9]",3,101.54,36.72,6.06,6.0,0.64,0.0,0.0,0.0,33.33,19.59,293.08,5.56,6.21,6.56,555.26
01_pca,Rocky Mountain,693,15,"['PC1', 'PC2', 'PC3', 'PC4', 'PC5', 'PC6', 'PC7', 'PC8', 'PC9', 'PC10', 'PC11', 'PC12', 'PC13', 'PC14', 'PC15']","[1, 2, 3]",2,188.67,67.49,8.22,3.9,0.64,12.98,44.23,59.62,75.96,0.0,2100.0,0.95,1.51,4.0,128.3
03_wi_nc_eo,Appalachian,298,15,"['TDS', 'PH', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","[1, 2, 3, 4, 5]",5,3737.18,1327.22,36.43,22.28,0.64,16.67,37.78,55.56,78.89,0.8,2760.0,4.91,12.33,29.98,4500.0
